Real,Imag
0.288099,-0.830895
0.322658,-0.879817
0.357846,-0.927042
0.393563,-0.972567
0.429713,-1.01639
0.466203,-1.05853
0.502945,-1.09898
0.539854,-1.13778
0.57685,-1.17494
0.613858,-1.2105
0.650807,-1.24448
0.687629,-1.27693
0.724266,-1.30787
0.760658,-1.33737
0.796754,-1.36545
0.832507,-1.39217
0.867872,-1.41756
0.90281,-1.44168
0.937286,-1.46458
0.971267,-1.48631
1.00473,-1.50691
1.03764,-1.52643
1.06998,-1.54493
1.10173,-1.56244
1.13288,-1.57902
1.16341,-1.59471
1.19331,-1.60955
1.22257,-1.6236
1.25118,-1.63689
1.27914,-1.64947
1.30644,-1.66137
1.33309,-1.67263
1.35907,-1.68329
1.38438,-1.69339
1.40904,-1.70296
1.43303,-1.71202
1.45637,-1.72062
1.47905,-1.72878
1.50108,-1.73653
1.52246,-1.74389
1.5432,-1.7509
1.56331,-1.75756
1.58278,-1.76391
1.60163,-1.76996
1.61987,-1.77574
1.63749,-1.78126
1.65451,-1.78653
1.67093,-1.79158
1.68676,-1.79641
1.70202,-1.80104
1.7167,-1.80548
1.73082,-1.80975
1.74439,-1.81384
1.75741,-1.81778
1.7699,-1.82156
1.78186,-1.8252
1.7933,-1.8287
1.80423,-1.83208
1.81467,-1.83533
1.82462,-1.83845
1.8341,-1.84147
1.8431,-1.84437
1.85165,-1.84716
1.85976,-1.84985
1.86743,-1.85245
1.87467,-1.85494
1.8815,-1.85734
1.88793,-1.85965
1.89396,-1.86187
1.89961,-1.864
1.90489,-1.86605
1.90981,-1.86802
1.91437,-1.86992
1.91859,-1.87173
1.92248,-1.87348
1.92604,-1.87515
1.92929,-1.87675
1.93223,-1.87829
1.93488,-1.87977
1.93724,-1.88118
1.93932,-1.88254
1.94113,-1.88385
1.94268,-1.8851
1.94396,-1.8863
1.945,-1.88746
1.94579,-1.88857
1.94634,-1.88964
1.94667,-1.89068
1.94676,-1.89167
1.94664,-1.89263
1.94629,-1.89356
1.94574,-1.89446
1.94497,-1.89534
1.94401,-1.89618
1.94284,-1.897
1.94147,-1.8978
1.93991,-1.89857
1.93815,-1.89932
1.93621,-1.90006
1.93408,-1.90077
1.93177,-1.90146
1.92927,-1.90213
1.9266,-1.90278
1.92374,-1.9034
1.92071,-1.90401
1.9175,-1.90459
1.91413,-1.90515
1.91058,-1.90568
1.90686,-1.90619
1.90298,-1.90666
1.89893,-1.90711
1.89472,-1.90752
1.89035,-1.9079
1.88583,-1.90824
1.88115,-1.90854
1.87631,-1.9088
1.87133,-1.90901
1.8662,-1.90918
1.86093,-1.9093
1.85552,-1.90936
1.84997,-1.90938
1.84429,-1.90933
1.83847,-1.90923
1.83254,-1.90907
1.82648,-1.90885
1.8203,-1.90857
1.81401,-1.90822
1.8076,-1.9078
1.80109,-1.90731
1.79448,-1.90676
1.78777,-1.90614
1.78097,-1.90544
1.77408,-1.90468
1.76709,-1.90384
1.76003,-1.90294
1.75289,-1.90196
1.74567,-1.90091
1.73838,-1.89979
1.73102,-1.8986
1.7236,-1.89734
1.71612,-1.89601
1.70857,-1.89462
1.70097,-1.89315
1.69332,-1.89162
1.68561,-1.89003
1.67785,-1.88837
1.67005,-1.88666
1.6622,-1.88488
1.6543,-1.88303
1.64636,-1.88114
1.63838,-1.87918
1.63036,-1.87716
1.6223,-1.87509
1.6142,-1.87296
1.60606,-1.87078
1.59788,-1.86855
1.58966,-1.86626
1.5814,-1.86391
1.57311,-1.86152
1.56478,-1.85907
1.55641,-1.85656
1.54801,-1.85401
1.53957,-1.85139
1.53109,-1.84873
1.52257,-1.846
1.51402,-1.84322
1.50543,-1.84039
1.49681,-1.83749
1.48815,-1.83454
1.47946,-1.83152
1.47073,-1.82844
1.46197,-1.8253
1.45318,-1.82209
1.44435,-1.81882
1.4355,-1.81547
1.42661,-1.81206
1.4177,-1.80858
1.40877,-1.80502
1.39981,-1.80139
1.39083,-1.79769
1.38183,-1.79391
1.37281,-1.79005
1.36377,-1.78611
1.35473,-1.7821
1.34567,-1.77801
1.3366,-1.77383
1.32753,-1.76958
1.31845,-1.76524
1.30937,-1.76083
1.3003,-1.75633
1.29122,-1.75175
1.28216,-1.74709
