Real,Imag
1.35011,18.3925
3.59867,18.3549
5.82929,18.0581
8.01229,17.5056
10.1186,16.7044
12.12,15.6649
13.9897,14.4005
15.7028,12.9278
17.2362,11.2659
18.5692,9.43662
19.6837,7.46407
20.5647,5.37417
21.2,3.19449
21.5808,0.953781
21.7016,-1.31832
21.5602,-3.59175
21.1582,-5.83637
20.5004,-8.02239
19.595,-10.1208
18.4536,-12.1036
17.0909,-13.9444
15.5245,-15.6186
13.7748,-17.1038
11.8646,-18.38
9.81879,-19.4301
7.66425,-20.2399
5.42922,-20.7982
3.14307,-21.0973
0.835881,-21.1329
-1.46195,-20.9042
-3.7201,-20.4137
-5.90875,-19.6677
-7.99895,-18.6756
-9.96301,-17.4503
-11.7749,-16.0075
-13.4106,-14.3662
-14.8482,-12.5477
-16.0687,-10.5758
-17.0557,-8.47645
-17.796,-6.27719
-18.2795,-4.00698
-18.4997,-1.69575
-18.4535,0.626013
-18.1411,2.92762
-17.5667,5.17862
-16.7374,7.34919
-15.6642,9.41055
-14.361,11.3353
-12.8449,13.0979
-11.1358,14.6747
-9.25629,16.0448
-7.23108,17.1898
-5.08694,18.0944
-2.85222,18.7462
-0.556508,19.1364
1.76975,19.2595
4.09568,19.1137
6.39037,18.7006
8.62329,18.0254
10.7647,17.0968
12.7859,15.9268
14.66,14.5306
16.3618,12.9266
17.8685,11.1357
19.1598,9.18156
20.2181,7.08988
21.0291,4.88827
21.5816,2.6058
21.8678,0.272685
21.8835,-2.08018
21.6281,-4.42157
21.1044,-6.7204
20.319,-8.94609
19.2818,-11.069
18.0062,-13.0607
16.5085,-14.8948
14.8084,-16.5465
12.9279,-17.9936
10.8916,-19.2168
8.72612,-20.1993
6.45996,-20.9279
4.12289,-21.3923
1.74567,-21.5861
-0.640376,-21.5062
-3.00373,-21.1533
-5.31317,-20.5315
-7.53811,-19.6487
-9.64907,-18.5161
-11.618,-17.1484
-13.4188,-15.5631
-15.0274,-13.781
-16.4224,-11.8253
-17.5851,-9.72158
-18.4999,-7.49738
-19.1543,-5.18193
-19.5396,-2.80567
-19.6502,-0.399908
-19.4845,2.00364
-19.0443,4.37324
-18.3352,6.67755
-17.3664,8.88607
-16.1503,10.9695
-14.7028,12.9002
-13.0429,14.6526
-11.1923,16.2032
-9.17532,17.5313
-7.01856,18.6192
-4.75045,19.4522
-2.40095,20.0191
-0.00112158,20.3122
2.41725,20.3271
4.8221,20.0636
7.18151,19.5248
9.46409,18.7176
11.6395,17.6524
13.6786,16.3431
15.5543,14.8067
17.2414,13.0636
18.7173,11.1365
19.962,9.05079
20.9588,6.83406
21.694,4.51557
22.1576,2.12598
22.3428,-0.303054
22.247,-2.73931
21.8708,-5.15042
21.219,-7.50433
20.2996,-9.76967
19.1244,-11.9162
17.7086,-13.9153
16.0707,-15.7401
14.2319,-17.3661
12.2162,-18.7715
10.0502,-19.9372
7.76217,-20.8473
5.38227,-21.4893
2.94183,-21.8543
0.473073,-21.9369
-1.9914,-21.7356
-4.41899,-21.2525
-6.77751,-20.4935
-9.0357,-19.4682
-11.1635,-18.1898
-13.1327,-16.6746
-14.9169,-14.9424
-16.4923,-13.0156
-17.8379,-10.9193
-18.9354,-8.68114
-19.7701,-6.33029
-20.3305,-3.89766
-20.6089,-1.41525
-20.6013,1.08426
-20.3074,3.56789
-19.7307,6.00285
-18.8784,8.35692
-17.7616,10.5989
-16.3946,12.6992
-14.7952,14.6297
-12.9844,16.3648
-10.9858,17.8815
-8.82566,19.1593
-6.53236,20.1812
-4.13611,20.9334
-1.66852,21.4057
0.837816,21.5915
3.34975,21.4881
5.83402,21.0966
8.25767,20.4218
10.5885,19.4724
12.7955,18.2608
14.8493,16.8027
16.7225,15.1171
18.39,13.2263
19.8294,11.155
21.0213,8.93059
21.9497,6.58237
22.6018,4.14139
22.9686,1.63995
23.0449,-0.888802
22.8292,-3.4113
22.3241,-5.89403
21.5357,-8.30394
20.4742,-10.6089
19.1532,-12.7782
17.5899,-14.7827
15.8045,-16.5956
13.8205,-18.1925
11.6639,-19.5519
9.36299,-20.6552
6.94802,-21.4875
4.45084,-22.0372
1.90441,-22.2965
-0.657595,-22.2615
-3.20126,-21.9321
-5.69287,-21.3123
-8.09934,-20.4095
-10.3887,-19.2354
-12.5303,-17.805
-14.4958,-16.1367
-16.2587,-14.2523
-17.7954,-12.1762
-19.0853,-9.93553
-20.1109,-7.55972
-20.8582,-5.07989
-21.3168,-2.52863
-21.4804,0.060465
-21.3462,2.65328
-20.9157,5.21557
-20.194,7.71347
-19.1903,10.1139
-17.9175,12.385
-16.392,14.4967
-14.6336,16.4209
-12.6652,18.1318
-10.5126,19.6067
-8.20393,20.8257
-5.76961,21.7725
-3.24163,22.4343
-0.653288,22.8018
1.96125,22.87
4.56743,22.6377
7.13076,22.1075
9.61727,21.2861
11.994,20.1841
14.2292,18.8158
16.2933,17.199
18.1586,15.3549
19.8003,13.3076
21.1963,11.084
22.3277,8.71349
23.1793,6.22726
23.7395,3.65818
24.0003,1.04024
